Round,Date,Team 1,FT,Team 2,Year,Month,Day,Date,DayOfWeek,Total Goals,Team 1 Goals,Team 2 Goals,Result
17,Sun Apr 19 2015,SC Echsenbach,0-1,USC Kirchberg/W.,2015,Apr,19,19/Apr/2015,Sun,1,0,1,USC Kirchberg/W.
17,Sun Apr 19 2015,SV Zwentendorf,0-1,SC Guntersdorf,2015,Apr,19,19/Apr/2015,Sun,1,0,1,SC Guntersdorf
17,Sun Apr 19 2015,USC Grafenwörth,01-Mar,Horn Amateure,2015,Apr,19,19/Apr/2015,Sun,4,1,3,Horn Amateure
17,Sun Apr 19 2015,SC St. Martin,01-Apr,USC Schweiggers,2015,Apr,19,19/Apr/2015,Sun,5,1,4,USC Schweiggers
18,Sun Apr 26 2015,USC Kirchberg/W.,0-2,SV Rehberg,2015,Apr,26,26/Apr/2015,Sun,2,0,2,SV Rehberg
18,Sun Apr 26 2015,USV Langenlois,01-Mar,SV Sieghartskirchen,2015,Apr,26,26/Apr/2015,Sun,4,1,3,SV Sieghartskirchen
18,Sun Apr 26 2015,USC Altenwörth,03-Apr,SC St. Martin,2015,Apr,26,26/Apr/2015,Sun,7,3,4,SC St. Martin
18,Sun Apr 26 2015,SC Guntersdorf,03-Mar,SC Echsenbach,2015,Apr,26,26/Apr/2015,Sun,6,3,3,Draw
18,Sun Apr 26 2015,Horn Amateure,02-Apr,USV Groß Gerungs,2015,Apr,26,26/Apr/2015,Sun,6,2,4,USV Groß Gerungs
18,Sun Apr 26 2015,SC Weißenkirchen,02-Jan,SV Zwentendorf,2015,Apr,26,26/Apr/2015,Sun,3,2,1,SC Weißenkirchen
18,Sun Apr 26 2015,USC Schweiggers,3-0,USC Grafenwörth,2015,Apr,26,26/Apr/2015,Sun,3,3,0,USC Schweiggers
19,Sun May 3 2015,USV Groß Gerungs,01-Feb,USC Schweiggers,2015,May,3,3/May/2015,Sun,3,1,2,USC Schweiggers
19,Sun May 3 2015,USC Grafenwörth,4-0,USC Altenwörth,2015,May,3,3/May/2015,Sun,4,4,0,USC Grafenwörth
19,Sun May 3 2015,SV Sieghartskirchen,01-Feb,USC Kirchberg/W.,2015,May,3,3/May/2015,Sun,3,1,2,USC Kirchberg/W.
19,Sun May 3 2015,SC St. Martin,0-0,USV Langenlois,2015,May,3,3/May/2015,Sun,0,0,0,Draw
19,Sun May 3 2015,SV Zwentendorf,0-1,Horn Amateure,2015,May,3,3/May/2015,Sun,1,0,1,Horn Amateure
19,Sun May 3 2015,SC Weißenkirchen,01-Jan,SC Guntersdorf,2015,May,3,3/May/2015,Sun,2,1,1,Draw
19,Sun May 3 2015,SV Rehberg,01-Mar,SC Echsenbach,2015,May,3,3/May/2015,Sun,4,1,3,SC Echsenbach
20,Sun May 10 2015,SC Echsenbach,01-Apr,SV Sieghartskirchen,2015,May,10,10/May/2015,Sun,5,1,4,SV Sieghartskirchen
20,Sun May 10 2015,USC Kirchberg/W.,03-Jan,SC St. Martin,2015,May,10,10/May/2015,Sun,4,3,1,USC Kirchberg/W.
20,Sun May 10 2015,USC Altenwörth,03-Feb,USV Groß Gerungs,2015,May,10,10/May/2015,Sun,5,3,2,USC Altenwörth
20,Sun May 10 2015,Horn Amateure,0-3,SC Weißenkirchen,2015,May,10,10/May/2015,Sun,3,0,3,SC Weißenkirchen
20,Sun May 10 2015,SC Guntersdorf,01-Jan,SV Rehberg,2015,May,10,10/May/2015,Sun,2,1,1,Draw
20,Sun May 10 2015,USC Schweiggers,0-0,SV Zwentendorf,2015,May,10,10/May/2015,Sun,0,0,0,Draw
20,Sun May 10 2015,USV Langenlois,02-Jan,USC Grafenwörth,2015,May,10,10/May/2015,Sun,3,2,1,USV Langenlois
21,Sun May 17 2015,SV Zwentendorf,5-0,USC Altenwörth,2015,May,17,17/May/2015,Sun,5,5,0,SV Zwentendorf
21,Sun May 17 2015,USC Grafenwörth,0-0,USC Kirchberg/W.,2015,May,17,17/May/2015,Sun,0,0,0,Draw
21,Sun May 17 2015,SC St. Martin,04-Jan,SC Echsenbach,2015,May,17,17/May/2015,Sun,5,4,1,SC St. Martin
21,Sun May 17 2015,USV Groß Gerungs,0-3,USV Langenlois,2015,May,17,17/May/2015,Sun,3,0,3,USV Langenlois
21,Sun May 17 2015,SV Sieghartskirchen,0-2,SV Rehberg,2015,May,17,17/May/2015,Sun,2,0,2,SV Rehberg
21,Sun May 17 2015,SC Weißenkirchen,0-2,USC Schweiggers,2015,May,17,17/May/2015,Sun,2,0,2,USC Schweiggers
21,Sun May 17 2015,Horn Amateure,0-1,SC Guntersdorf,2015,May,17,17/May/2015,Sun,1,0,1,SC Guntersdorf
22,Sun May 24 2015,USC Altenwörth,03-Jan,SC Weißenkirchen,2015,May,24,24/May/2015,Sun,4,3,1,USC Altenwörth
22,Sun May 24 2015,SC Echsenbach,05-Apr,USC Grafenwörth,2015,May,24,24/May/2015,Sun,9,5,4,SC Echsenbach
22,Sun May 24 2015,SV Rehberg,01-Jan,SC St. Martin,2015,May,24,24/May/2015,Sun,2,1,1,Draw
22,Sun May 24 2015,USV Langenlois,02-Mar,SV Zwentendorf,2015,May,24,24/May/2015,Sun,5,2,3,SV Zwentendorf
22,Sun May 24 2015,USC Schweiggers,02-Jan,Horn Amateure,2015,May,24,24/May/2015,Sun,3,2,1,USC Schweiggers
22,Sun May 24 2015,USC Kirchberg/W.,01-May,USV Groß Gerungs,2015,May,24,24/May/2015,Sun,6,1,5,USV Groß Gerungs
22,Sun May 24 2015,SC Guntersdorf,04-Mar,SV Sieghartskirchen,2015,May,24,24/May/2015,Sun,7,4,3,SC Guntersdorf
23,Sun May 31 2015,SC St. Martin,01-Feb,SV Sieghartskirchen,2015,May,31,31/May/2015,Sun,3,1,2,SV Sieghartskirchen
23,Sun May 31 2015,USC Schweiggers,0-1,SC Guntersdorf,2015,May,31,31/May/2015,Sun,1,0,1,SC Guntersdorf
23,Sun May 31 2015,Horn Amateure,02-Mar,USC Altenwörth,2015,May,31,31/May/2015,Sun,5,2,3,USC Altenwörth
23,Sun May 31 2015,SC Weißenkirchen,01-Jan,USV Langenlois,2015,May,31,31/May/2015,Sun,2,1,1,Draw
23,Sun May 31 2015,SV Zwentendorf,04-Jan,USC Kirchberg/W.,2015,May,31,31/May/2015,Sun,5,4,1,SV Zwentendorf
23,Sun May 31 2015,USV Groß Gerungs,03-Apr,SC Echsenbach,2015,May,31,31/May/2015,Sun,7,3,4,SC Echsenbach
23,Sun May 31 2015,USC Grafenwörth,01-Feb,SV Rehberg,2015,May,31,31/May/2015,Sun,3,1,2,SV Rehberg
24,Sun Jun 7 2015,USV Langenlois,3-0,Horn Amateure,2015,Jun,7,7/Jun/2015,Sun,3,3,0,USV Langenlois
24,Sun Jun 7 2015,USC Altenwörth,01-Jan,USC Schweiggers,2015,Jun,7,7/Jun/2015,Sun,2,1,1,Draw
24,Sun Jun 7 2015,SV Sieghartskirchen,1-0,USC Grafenwörth,2015,Jun,7,7/Jun/2015,Sun,1,1,0,SV Sieghartskirchen
24,Sun Jun 7 2015,USC Kirchberg/W.,0-2,SC Weißenkirchen,2015,Jun,7,7/Jun/2015,Sun,2,0,2,SC Weißenkirchen
24,Sun Jun 7 2015,SC Echsenbach,2-0,SV Zwentendorf,2015,Jun,7,7/Jun/2015,Sun,2,2,0,SC Echsenbach
24,Sun Jun 7 2015,SV Rehberg,03-Feb,USV Groß Gerungs,2015,Jun,7,7/Jun/2015,Sun,5,3,2,SV Rehberg
24,Sun Jun 7 2015,SC Guntersdorf,1-0,SC St. Martin,2015,Jun,7,7/Jun/2015,Sun,1,1,0,SC Guntersdorf
25,Sun Jun 14 2015,USV Groß Gerungs,1-0,SV Sieghartskirchen,2015,Jun,14,14/Jun/2015,Sun,1,1,0,USV Groß Gerungs
25,Sun Jun 14 2015,Horn Amateure,04-Mar,USC Kirchberg/W.,2015,Jun,14,14/Jun/2015,Sun,7,4,3,Horn Amateure
25,Sun Jun 14 2015,SC Weißenkirchen,3-0,SC Echsenbach,2015,Jun,14,14/Jun/2015,Sun,3,3,0,SC Weißenkirchen
25,Sun Jun 14 2015,USC Grafenwörth,04-Feb,SC St. Martin,2015,Jun,14,14/Jun/2015,Sun,6,4,2,USC Grafenwörth
25,Sun Jun 14 2015,USC Schweiggers,03-Feb,USV Langenlois,2015,Jun,14,14/Jun/2015,Sun,5,3,2,USC Schweiggers
25,Sun Jun 14 2015,USC Altenwörth,02-Mar,SC Guntersdorf,2015,Jun,14,14/Jun/2015,Sun,5,2,3,SC Guntersdorf
25,Sun Jun 14 2015,SV Zwentendorf,01-Apr,SV Rehberg,2015,Jun,14,14/Jun/2015,Sun,5,1,4,SV Rehberg
