Round,Date,Team 1,FT,Team 2,Year,Month,Day,Date,DayOfWeek,Total Goals,Team 1 Goals,Team 2 Goals,Result
9,Thu Oct 3 2019,Girona FC,03-Jan,RCD La Coruña,2019,Oct,3,3/Oct/2019,Thu,4,3,1,Girona FC
10,Fri Oct 4 2019,AD Alcorcón,0-1,Albacete Balompié,2019,Oct,4,4/Oct/2019,Fri,1,0,1,Albacete Balompié
10,Sat Oct 5 2019,CD Lugo,0-2,UD Las Palmas,2019,Oct,5,5/Oct/2019,Sat,2,0,2,UD Las Palmas
10,Sat Oct 5 2019,Elche CF,01-Jan,Rayo Vallecano,2019,Oct,5,5/Oct/2019,Sat,2,1,1,Draw
10,Sat Oct 5 2019,SD Ponferradina,2-0,CD Mirandés,2019,Oct,5,5/Oct/2019,Sat,2,2,0,SD Ponferradina
10,Sat Oct 5 2019,CD Tenerife,01-Feb,Extremadura UD,2019,Oct,5,5/Oct/2019,Sat,3,1,2,Extremadura UD
10,Sun Oct 6 2019,CF Fuenlabrada,2-0,Sporting Gijón,2019,Oct,6,6/Oct/2019,Sun,2,2,0,CF Fuenlabrada
10,Sun Oct 6 2019,Real Zaragoza,0-2,Cádiz CF,2019,Oct,6,6/Oct/2019,Sun,2,0,2,Cádiz CF
10,Sun Oct 6 2019,Real Oviedo,01-Jan,CD Numancia,2019,Oct,6,6/Oct/2019,Sun,2,1,1,Draw
10,Sun Oct 6 2019,RCD La Coruña,0-0,UD Almería,2019,Oct,6,6/Oct/2019,Sun,0,0,0,Draw
10,Sun Oct 6 2019,SD Huesca,2-0,Málaga CF,2019,Oct,6,6/Oct/2019,Sun,2,2,0,SD Huesca
10,Sun Oct 6 2019,Real Racing Santander,0-3,Girona FC,2019,Oct,6,6/Oct/2019,Sun,3,0,3,Girona FC
11,Fri Oct 11 2019,Rayo Vallecano,02-Jan,CD Tenerife,2019,Oct,11,11/Oct/2019,Fri,3,2,1,Rayo Vallecano
11,Sat Oct 12 2019,Girona FC,0-2,Elche CF,2019,Oct,12,12/Oct/2019,Sat,2,0,2,Elche CF
11,Sat Oct 12 2019,UD Almería,0-0,CD Lugo,2019,Oct,12,12/Oct/2019,Sat,0,0,0,Draw
11,Sat Oct 12 2019,Sporting Gijón,01-Mar,AD Alcorcón,2019,Oct,12,12/Oct/2019,Sat,4,1,3,AD Alcorcón
11,Sat Oct 12 2019,Extremadura UD,01-Jan,SD Ponferradina,2019,Oct,12,12/Oct/2019,Sat,2,1,1,Draw
11,Sat Oct 12 2019,Málaga CF,01-Feb,Cádiz CF,2019,Oct,12,12/Oct/2019,Sat,3,1,2,Cádiz CF
11,Sun Oct 13 2019,CD Mirandés,02-Jan,CF Fuenlabrada,2019,Oct,13,13/Oct/2019,Sun,3,2,1,CD Mirandés
11,Sun Oct 13 2019,CD Numancia,0-1,Real Zaragoza,2019,Oct,13,13/Oct/2019,Sun,1,0,1,Real Zaragoza
11,Sun Oct 13 2019,SD Huesca,01-Jan,Real Racing Santander,2019,Oct,13,13/Oct/2019,Sun,2,1,1,Draw
