Country,Stage,Round,Date,Team 1,FT,Team 2,Year,Month,Day,Date,DayOfWeek,Goals,Team 1 Goals,Team 2 Goals,Result,,
Belgium,Regular Season,13,Tue Oct 30 2018,Club Brugge,4-0,KV Oostende,2018,Oct,30,30/Oct/2018,Tue,4,4,0,Club Brugge,,
Belgium,Regular Season,13,Wed Oct 31 2018,KV Kortrijk,2-2,Waasland-Beveren,2018,Oct,31,31/Oct/2018,Wed,4,2,2,Draw,,
Belgium,Regular Season,13,Wed Oct 31 2018,KAS Eupen,2-0,Cercle Brugge,2018,Oct,31,31/Oct/2018,Wed,2,2,0,KAS Eupen,,
Belgium,Regular Season,13,Wed Oct 31 2018,Royal Antwerp FC,2-4,KRC Genk,2018,Oct,31,31/Oct/2018,Wed,6,2,4,KRC Genk,,
Belgium,Regular Season,13,Thu Nov 1 2018,RSC Anderlecht,1-1,KSC Lokeren OV,2018,Nov,1,1/Nov/2018,Thu,2,1,1,Draw,,
Belgium,Regular Season,13,Thu Nov 1 2018,SV Zulte Waregem,3-1,Standard Liège,2018,Nov,1,1/Nov/2018,Thu,4,3,1,SV Zulte Waregem,,
Belgium,Regular Season,14,Fri Nov 2 2018,KV Oostende,2-1,Sporting Charleroi,2018,Nov,2,2/Nov/2018,Fri,3,2,1,KV Oostende,,
Belgium,Regular Season,14,Sat Nov 3 2018,KRC Genk,1-1,Club Brugge,2018,Nov,3,3/Nov/2018,Sat,2,1,1,Draw,,
Belgium,Regular Season,14,Sat Nov 3 2018,KAA Gent,3-1,KV Kortrijk,2018,Nov,3,3/Nov/2018,Sat,4,3,1,KAA Gent,,
Belgium,Regular Season,14,Sat Nov 3 2018,Cercle Brugge,2-1,Royal Excel Mouscron,2018,Nov,3,3/Nov/2018,Sat,3,2,1,Cercle Brugge,,
Belgium,Regular Season,14,Sun Nov 4 2018,Standard Liège,0-2,Royal Antwerp FC,2018,Nov,4,4/Nov/2018,Sun,2,0,2,Royal Antwerp FC,,
Belgium,Regular Season,14,Sun Nov 4 2018,Waasland-Beveren,1-2,RSC Anderlecht,2018,Nov,4,4/Nov/2018,Sun,3,1,2,RSC Anderlecht,,
Belgium,Regular Season,14,Sun Nov 4 2018,KSC Lokeren OV,2-0,KAS Eupen,2018,Nov,4,4/Nov/2018,Sun,2,2,0,KSC Lokeren OV,,
Belgium,Regular Season,14,Sun Nov 4 2018,Sint-Truidense VV,2-1,SV Zulte Waregem,2018,Nov,4,4/Nov/2018,Sun,3,2,1,Sint-Truidense VV,,
Belgium,Regular Season,15,Fri Nov 9 2018,Royal Antwerp FC,2-0,KV Oostende,2018,Nov,9,9/Nov/2018,Fri,2,2,0,Royal Antwerp FC,,
Belgium,Regular Season,15,Sat Nov 10 2018,Cercle Brugge,2-0,Waasland-Beveren,2018,Nov,10,10/Nov/2018,Sat,2,2,0,Cercle Brugge,,
Belgium,Regular Season,15,Sat Nov 10 2018,KAS Eupen,1-4,Sint-Truidense VV,2018,Nov,10,10/Nov/2018,Sat,5,1,4,Sint-Truidense VV,,
Belgium,Regular Season,15,Sat Nov 10 2018,SV Zulte Waregem,2-0,KSC Lokeren OV,2018,Nov,10,10/Nov/2018,Sat,2,2,0,SV Zulte Waregem,,
Belgium,Regular Season,15,Sat Nov 10 2018,Sporting Charleroi,2-1,Club Brugge,2018,Nov,10,10/Nov/2018,Sat,3,2,1,Sporting Charleroi,,
